2.23607		2.23607		24.0832		9.21954
13.3417		8    		15.0333		9.21954
13   		5.65685		13.1529		6.7082
11.1803		11.1803		15.1327		10.6301
6.08276		6.08276		25.2389		11.7047
6    		4.12311		25.807		12.53
5.38516		4.12311		27.6586		12.2066
12.6491		15.0333		26.9258		18.1108
11.7047		11.7047		11.1803		6.08276
13.3417		5    		29.8329		16.6433
6.32456		7.2111		27.0185		13.6015
12.0416		11.4018		30.4795		18.4391
9.21954		9.05539		23.7065		13.6015
5.09902		2.23607		13   		4    
5    		19.2354		17   		8.94427
240.616		240.601		243.988		241.969
245.073		248.719		245.08		246.876
2.23607		2.23607		24.0832		9.21954
13.3417		8    		15.0333		9.21954
13   		5.65685		13.1529		6.7082
11.1803		11.1803		15.1327		10.6301
6.08276		6.08276		25.2389		11.7047
6    		4.12311		25.807		12.53
5.38516		4.12311		27.6586		12.2066
12.6491		15.0333		26.9258		18.1108
11.7047		11.7047		11.1803		6.08276
13.3417		5    		29.8329		16.6433
6.32456		7.2111		27.0185		13.6015
12.0416		11.4018		30.4795		18.4391
9.21954		9.05539		23.7065		13.6015
5.09902		2.23607		13   		4    
5    		19.2354		17   		8.94427
240.616		240.601		243.988		241.969
245.073		248.719		245.08		246.876
2.23607		2.23607		24.0832		9.21954
13.3417		8    		15.0333		9.21954
13   		5.65685		13.1529		6.7082
11.1803		11.1803		15.1327		10.6301
6.08276		6.08276		25.2389		11.7047
6    		4.12311		25.807		12.53
5.38516		4.12311		27.6586		12.2066
12.6491		15.0333		26.9258		18.1108
11.7047		11.7047		11.1803		6.08276
13.3417		5    		29.8329		16.6433
6.32456		7.2111		27.0185		13.6015
12.0416		11.4018		30.4795		18.4391
9.21954		9.05539		23.7065		13.6015
5.09902		2.23607		13   		4    
5    		19.2354		17   		8.94427
240.616		240.601		243.988		241.969
245.073		248.719		245.08		246.876
2.23607		2.23607		24.0832		9.21954
13.3417		8    		15.0333		9.21954
13   		5.65685		13.1529		6.7082
11.1803		11.1803		15.1327		10.6301
6.08276		6.08276		25.2389		11.7047
6    		4.12311		25.807		12.53
5.38516		4.12311		27.6586		12.2066
12.6491		15.0333		26.9258		18.1108
11.7047		11.7047		11.1803		6.08276
13.3417		5    		29.8329		16.6433
6.32456		7.2111		27.0185		13.6015
12.0416		11.4018		30.4795		18.4391
9.21954		9.05539		23.7065		13.6015
5.09902		2.23607		13   		4    
5    		19.2354		17   		8.94427
240.616		240.601		243.988		241.969
245.073		248.719		245.08		246.876
2.23607		2.23607		24.0832		9.21954
13.3417		8    		15.0333		9.21954
13   		5.65685		13.1529		6.7082
11.1803		11.1803		15.1327		10.6301
6.08276		6.08276		25.2389		11.7047
6    		4.12311		25.807		12.53
5.38516		4.12311		27.6586		12.2066
12.6491		15.0333		26.9258		18.1108
11.7047		11.7047		11.1803		6.08276
13.3417		5    		29.8329		16.6433
6.32456		7.2111		27.0185		13.6015
12.0416		11.4018		30.4795		18.4391
9.21954		9.05539		23.7065		13.6015
5.09902		2.23607		13   		4    
5    		19.2354		17   		8.94427
240.616		240.601		243.988		241.969
245.073		248.719		245.08		246.876
2.23607		2.23607		24.0832		9.21954
13.3417		8    		15.0333		9.21954
13   		5.65685		13.1529		6.7082
11.1803		11.1803		15.1327		10.6301
6.08276		6.08276		25.2389		11.7047
6    		4.12311		25.807		12.53
5.38516		4.12311		27.6586		12.2066
12.6491		15.0333		26.9258		18.1108
11.7047		11.7047		11.1803		6.08276
13.3417		5    		29.8329		16.6433
6.32456		7.2111		27.0185		13.6015
12.0416		11.4018		30.4795		18.4391
9.21954		9.05539		23.7065		13.6015
5.09902		2.23607		13   		4    
5    		19.2354		17   		8.94427
